field_id,vh31,vv31
2711524,-23.118714755118695,-14.322197329144958
2711438,-18.59713702333343,-10.193366573349264
2716656,-19.853031799784485,-9.697934250139749
2711060,-22.91898917989915,-14.306845510678539
2722386,-22.442091270389028,-5.9489087395669555
2717377,-21.612473547881773,-10.893895410391538
2716683,-23.07692658773115,-14.60398432873302
2710825,-20.89782566801069,-12.525091219826246
2710761,-20.215899394531586,-11.179611918850505
2722389,-17.91110502971676,-10.144354209653908
2716695,-19.581788203397927,-11.044824599938636
2710593,-20.138567961517438,-11.789518340330023
2710539,-19.9902389502671,-11.796312660016246
2710464,-21.96470422313538,-13.051293509196372
2709995,-20.51011911579549,-12.776497988511965
2722411,-20.127828576049442,-12.733153730900229
2709503,-21.074594577533173,-8.699384107326397
2709445,-20.524320773131638,-8.204713758061526
2725422,-20.459572040650343,-7.596139427648554
2709266,-22.63862439776714,-13.656385556204386
2709265,-22.484250852329257,-13.722708294617433
2709264,-22.37046547192226,-13.792522661883183
2709232,-21.968466939194965,-12.820293639901791
2723851,-17.4976154024671,-10.700451171213423
2722443,-22.54689407542726,-13.796024511668252
2722446,-20.023266319711382,-10.73484756318047
2701313,-21.372860186282463,-9.800391702234053
2719232,-18.791739577800893,-10.097182861774169
2722450,-21.919560673567982,-5.33357957948451
2725427,-21.866639764898476,-11.601275547629294
2701450,-21.126289259227658,-4.820622484091994
2717058,-21.032043376310195,-11.06586579130928
2717084,-21.965359981332124,-13.637413791028038
2722478,-21.91129925918596,-13.15216911690043
2723855,-19.241528779125424,-11.07910579128577
2722482,-22.6603021598783,-13.988579628948534
2713002,-22.24679809099754,-13.911223962954105
2722487,-20.78672713017814,-11.323148256715335
2712505,-17.77578213229144,-10.859857446414155
2712382,-22.29068962157143,-13.925591993184394
2712364,-23.021540534927986,-14.593446342817138
2722494,-21.670776992534513,-11.545237760895908
2723858,-18.75010862034479,-10.864402734027873
2709641,-18.156724955782817,-10.098304853881762
2709639,-18.296529875573345,-10.44914999381571
2722510,-20.858586990625856,-9.85406189384478
2717145,-22.736845669646147,-14.322395033920515
2722576,-19.940747460762523,-11.959991553186374
2722579,-21.151089367955123,-12.353300298309147
2725434,-21.54251769452527,-11.972924177871336
2723862,-19.29164537658978,-11.206951267509675
2725435,-21.44875845561489,-13.249880941667053
2722628,-22.940347622967362,-14.697102973512687
2722629,-19.863299032631136,-13.430810629049104
2718783,-22.603945230938667,-13.83988421914019
2718971,-22.201668911001995,-13.135299190814537
2722636,-21.81641109642653,-13.34463876404291
2722637,-22.141131503239013,-14.410041772424211
2716573,-22.423202609125838,-13.812416181129514
2723866,-19.186067714392486,-12.213863209034738
2718953,-17.39255600449501,-10.238248813876476
2722688,-19.640775230874706,-5.135306874948487
2722690,-21.824334409281068,-12.063064950667465
2725437,-19.92025479148237,-9.528063171151283
2722693,-21.607907556695935,-12.18252172111362
2722694,-21.0337199653846,-11.754143255624227
2722695,-21.511040509986717,-12.124665755224536
2722701,-21.85076222639351,-12.161790447093862
2722771,-21.891174011716114,-13.107674707254334
2723870,-20.02403064682737,-9.177206355914134
2723871,-20.435615912760074,-12.741053794969385
2713418,-19.796863042984782,-10.387366536066242
2716839,-19.88413380177155,-10.955213518996183
2723873,-20.550390580388537,-11.864203243200045
2722827,-20.318861131591486,-11.591817746701752
2711466,-19.513757259501027,-11.713153331068128
2723875,-19.7381219089865,-11.6462270635231
2723876,-20.487570938263854,-12.431318096394815
2722842,-21.708217124042577,-11.984853421448197
2722843,-21.647019986117158,-11.643384331073204
2722844,-21.816698261257425,-12.287044561139924
2722853,-21.560695110286343,-11.680014727706126
2723658,-19.496044122714682,-11.655543084726565
2723659,-19.568625652060888,-10.6504421568125
2725438,-20.847364460821005,-12.54726150458088
2723618,-21.78883164151594,-9.992214422958815
2723705,-21.39330992926271,-12.620356108899422
2716739,-22.303159695298234,-11.724908788580201
2723750,-22.992467408697713,-14.540230970677083
2722916,-21.477260653158872,-12.399868279240856
2725441,-22.271463075330338,-9.844996424810713
2724566,-21.142889072154205,-12.174955918404846
2724535,-21.12874931035118,-11.552365151581661
2724522,-21.076639288765442,-13.181754042895953
2724545,-19.306308935048783,-11.49952595689483
2723883,-19.34706739193453,-9.77305343449703
2722264,-20.383649505574258,-12.60550479691787
2725442,-22.523102266211335,-14.09683959606898
2711876,-22.892105541051276,-14.25361700787209
2724499,-21.04942261131547,-10.586920737966535
2723887,-19.578930200140803,-11.395403169862144
2700165,-19.43574335343145,-10.78128820118695
2725450,-19.711844346862417,-11.575795028874458
2724533,-20.434896559079302,-12.387255724465136
2716276,-19.869709274388207,-12.554267699741091
