15_Mar_only,15_Mar_only_n,20_31_Mar,20_31_Mar_n,20_Mar_only,20_Mar_only_n,25_Mar_only,25_Mar_only_n,pre,pre_n,unit_id
,0.0,0.48754339022842996,4.0,0.5111522289526756,2.0,0.467761978420745,2.0,0.5410037749341237,8.0,4401074
,0.0,0.07670736761937597,4.0,0.06664325424252437,2.0,0.07849525209198711,2.0,0.04059864567648601,8.0,4401107
,0.0,0.32517731856530524,4.0,0.3320878801878184,2.0,0.32000299308457597,2.0,0.3004893709447748,7.827228103421372,4401123
,0.0,0.5793411627766631,4.0,0.6017946965599918,2.0,0.5624819866120213,2.0,0.6255292877260493,6.0,4401154
,0.0,0.4811449310831929,4.0,0.4853153467967096,2.0,0.47694553659841576,2.0,0.49691634214270164,6.329683929931454,4401201
0.48031114946335857,0.42340443885787504,0.7121922655572865,2.0,0.7073742542579514,1.0,0.7170102808722795,1.0,0.6736404916378601,3.0,4401203
0.4246836609918452,2.0,0.4388871922788479,4.0,0.446827438949354,2.0,0.43198073205413706,2.0,0.3869196601175002,8.0,4401228
,0.0,0.15644910650384797,4.0,0.14471921389274248,2.0,0.15856829737114983,2.0,0.08926508377348633,8.0,4405152
,0.0,0.5959821138465683,4.0,0.6151070241201405,2.0,0.5851554247239557,2.0,0.5759213059401377,6.0,4401269
0.22664171883402626,1.2136926480305688,0.23142961795161474,4.0,0.22197689920780278,2.0,0.235218348984255,2.0,0.20331547377851492,7.604677220099405,4405153
0.2999716898742364,0.8394702458724312,0.4281655071949939,4.0,0.42830104012343595,2.0,0.4281276025418743,2.0,0.48459938159056476,6.0,4401286
0.34615597452064345,1.934263898830827,0.3934513393996637,4.0,0.3984575796435936,2.0,0.38799582350313766,2.0,0.3711933742784649,6.7550703889286545,4401304
0.5143958536517499,2.0528139923831787,0.5603379260024316,8.0,0.5482600747759487,4.0,0.5839200689045002,4.0,0.5596935502748063,12.0,4401306
0.24367630246965669,1.3706239349457383,0.27465764127874187,5.7541630542019195,0.27514848982253554,2.0,0.2769427661918168,2.0,0.3247781187512421,6.0,4401313
0.4356513386743091,1.0,0.3960866946236868,2.0,0.30780484885738985,1.0,0.4843685360406695,1.0,0.3696782219974014,3.0,4401325
,0.0,0.4092129966831474,4.0,0.4381260429968569,2.0,0.3876901827436368,2.0,0.43976683411914774,8.0,4401334
,0.0,0.3532970475697113,2.0,,0.0,0.3532970475697113,2.0,0.3559531383029974,6.0,4401363
,0.0,0.4501278989240321,4.0,0.46609395204505755,2.0,0.4360778683323272,2.0,0.36947612841114874,6.0,4401369
0.39674417074802565,1.6489858596199372,0.41585518419933265,4.0,0.4295954950679645,2.0,0.4043856351743909,2.0,0.34171751393539757,6.0,4401370
0.2075814743787493,0.21410181676867773,0.272744137536089,2.0,,0.0,0.272744137536089,2.0,0.18985964697283958,6.0,4401378
0.32896680541636436,2.0,0.38258495620293426,4.0,0.3832542515554353,2.0,0.38235227671881195,2.0,0.42061064934047304,6.0,4401385
0.47424322349301307,2.0,0.5006963758672103,4.0,0.48498171239875615,2.0,0.513744490200921,2.0,0.40509644387103383,6.0,4401387
,0.0,0.4319191349897381,4.0,0.4355893113833753,2.0,0.42910395625123365,2.0,0.43078557142830864,6.0,4401388
,0.0,0.2039568043401533,4.0,0.19978640972025632,2.0,0.20532371186877857,2.0,0.20005821136975224,6.0,4405154
,0.0,0.20144942224158052,2.512387758523992,0.16933292958989046,0.5123877585239918,0.2079742627360168,2.0,0.13150069071068515,6.0,4401405
,0.0,0.32705900356322465,4.0,0.33375327882726075,2.0,0.32305516111358606,2.0,0.27831787638477956,8.0,4405155
0.33973992297890404,0.9921684988812142,0.40824265887369865,2.0,0.3848114964916544,1.0,0.43167382359478584,1.0,0.347842790125519,3.0,4405156
,0.0,0.389063908739256,4.0,0.40958183407150467,2.0,0.37496002974576803,2.0,0.40037586637918043,7.949529804755972,4404637
,0.0,0.38198953222571774,4.0,0.40773870743572316,2.0,0.3632940126437995,2.0,0.4168644314835317,8.0,4404639
0.33870503740680497,2.0,0.37287030806673505,4.0,0.38428819864854785,2.0,0.36241315307221905,2.0,0.3751676319915876,7.3570407093145205,4401460
0.255739850952436,2.0,0.29685942305474666,4.0,0.2830896027386937,2.0,0.31253842240027035,2.0,0.25323487604026623,6.0,4401473
0.4982037357121304,2.5100746268656713,0.5206531398443144,8.0,0.5105466124671165,4.0,0.5391641937085053,4.0,0.5614539319009924,12.0,4401475
0.1916454001362821,1.0,0.1846939070749671,2.400187976234433,0.18242160693875914,1.0,0.19290814358571098,1.0,0.17209442717745876,3.0,4401478
0.30067948314638665,1.8753516819571872,0.3269777468964231,4.0,0.3232421161468605,2.0,0.33035245852331874,2.0,0.304629966186821,6.0,4401490
,0.0,0.4380823935142782,4.0,0.4476228680538331,2.0,0.43090174167811357,2.0,0.44317184976767326,6.0,4401494
0.3031704062756377,0.7168436167435381,0.3569023099051745,4.0,0.3757607389097839,2.0,0.3416759528753968,2.0,0.3223229000444885,6.044795927247411,4401501
